image,component_id,area_px,eq_diameter_px,eq_diameter_um,size_group,d_class_coverage,detected
D0624-30_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7901234567901234,1
D0624-30_crop_00.jpg,5,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-30_crop_00.jpg,6,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9259259259259259,1
D0624-30_crop_00.jpg,7,29,6.076507779746499,3.3104814384058923,small_<=5um,0.0,0
D0624-30_crop_00.jpg,8,29,6.076507779746499,3.3104814384058923,small_<=5um,0.0,0
D0624-30_crop_00.jpg,9,49,7.898654169668588,4.303186791635446,small_<=5um,0.8775510204081632,1
D0624-30_crop_00.jpg,10,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9259259259259259,1
D0624-30_crop_00.jpg,11,81,10.155412503859614,5.532668732102717,medium_5-10um,0.04938271604938271,0
D0624-30_crop_02.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9259259259259259,1
D0624-30_crop_02.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,1.0,1
D0624-30_crop_02.jpg,3,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.8322147651006712,1
D0624-34_crop_03.jpg,1,49,7.898654169668588,4.303186791635446,small_<=5um,0.8775510204081632,1
D0624-36_crop_01.jpg,1,197,15.837556323903858,8.62830068526282,medium_5-10um,0.9543147208121827,1
D0624-36_crop_01.jpg,2,49,7.898654169668588,4.303186791635446,small_<=5um,0.0,0
D0624-36_crop_01.jpg,3,49,7.898654169668588,4.303186791635446,small_<=5um,0.8775510204081632,1
D0624-37_crop_01.jpg,1,149,13.773623058786647,7.5038698424269645,medium_5-10um,0.87248322147651,1
D0624-37_crop_01.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.9557522123893806,1
D0624-38_crop_00.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,1.0,1
D0624-38_crop_00.jpg,2,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-38_crop_00.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7407407407407407,1
D0624-38_crop_00.jpg,4,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9506172839506173,1
D0624-39_crop_00.jpg,1,81,10.155412503859614,5.532668732102717,medium_5-10um,0.9012345679012346,1
D0624-39_crop_00.jpg,2,113,11.994835078277376,6.534786150645513,medium_5-10um,0.831858407079646,1
D0624-39_crop_00.jpg,3,81,10.155412503859614,5.532668732102717,medium_5-10um,0.7777777777777778,1
D0624-39_crop_00.jpg,4,49,7.898654169668588,4.303186791635446,small_<=5um,0.24489795918367346,0
