image,inclusion_precision,inclusion_recall,inclusion_f1,gt_inclusion_objects,apparent_bg_strip_fp_components,apparent_bg_d_fp_components
0826_D-14_crop_01.jpg,0.875,0.9506172839506173,0.9112426035502958,1,0,4
0826_D-16_crop_02.jpg,0.897196261682243,0.5363128491620112,0.6713286713286714,3,0,4
0826_D-17_crop_01.jpg,0.8333333333333334,0.7788595271210014,0.805176132278936,7,0,12
0826_D-19_crop_01.jpg,0.9242424242424242,0.9432989690721649,0.9336734693877551,2,0,4
0826_D-20_crop_00.jpg,0.8829787234042553,0.9012833168805529,0.8920371275036639,7,0,13
0826_D-20_crop_01.jpg,0.9814814814814815,0.5921787709497207,0.7386759581881533,3,0,0
0826_D-25_crop_00.jpg,0.7702127659574468,0.7182539682539683,0.7433264887063655,6,0,11
0826_D-32_crop_02.jpg,0.9125,0.9798657718120806,0.9449838187702266,1,0,3
0826_D-33_crop_00.jpg,0.7959183673469388,0.2647058823529412,0.39728353140916806,8,0,2
0826_D-33_crop_01.jpg,0.9204712812960235,0.8434547908232118,0.8802816901408451,5,0,14
0826_D-37_crop_02.jpg,0.9432989690721649,0.9432989690721649,0.9432989690721649,2,0,4
0826_D-3_crop_01.jpg,0.9767441860465116,0.8456375838926175,0.9064748201438849,2,0,1
0826_D-42_crop_02.jpg,0.981651376146789,0.9469026548672567,0.963963963963964,1,0,0
0826_D-43_crop_01.jpg,0.8797250859106529,0.9175627240143369,0.8982456140350877,3,0,4
0826_D-45_crop_01.jpg,0.920892494929006,0.9153225806451613,0.9180990899898888,4,0,5
0826_D-4_crop_01.jpg,0.8695652173913043,0.8088235294117647,0.838095238095238,4,0,4
0826_D-56_crop_00.jpg,0.9027777777777778,0.8099688473520249,0.8538587848932677,5,0,4
0826_D-57_crop_00.jpg,0.9691211401425178,0.8292682926829268,0.8937568455640744,3,0,2
0826_D-5_crop_01.jpg,0.928125,0.8114754098360656,0.8658892128279884,2,0,2
0826_D-63_crop_00.jpg,0.8515406162464986,0.8941176470588236,0.8723098995695839,4,0,7
0826_D-66_crop_02.jpg,0.7407407407407407,0.8163265306122449,0.7766990291262137,1,0,1
0826_D-69_crop_01.jpg,0.9283018867924528,0.8945454545454545,0.9111111111111111,3,0,5
0826_D-70_crop_00.jpg,0.8774509803921569,0.8564593301435407,0.8668280871670703,5,2,9
