image,component_id,area_px,eq_diameter_px,eq_diameter_um,gate_strip_coverage,strip_expert_tind_coverage,final_tind_coverage,gate_strip_detected,strip_expert_tind_detected,final_tind_detected
0506tin1_1_50_crop_03.jpg,2,132,12.964089628857149,7.062836029801374,0.8636363636363636,0.9015151515151515,0.8787878787878788,1,1,1
0506tin1_1_55_crop_02.jpg,1,51,8.058239062071396,4.390128641016496,0.0392156862745098,0.0,0.0,0,0,0
0506tin1_1_55_crop_02.jpg,2,51,8.058239062071396,4.390128641016496,0.0,0.0,0.0,0,0,0
0506tin1_1_55_crop_02.jpg,3,44,7.48482063701911,4.077730283048011,0.0,0.0,0.0,0,0,0
0506tin1_1_55_crop_02.jpg,4,170,14.712264360219255,8.01524162344745,0.7411764705882353,0.7529411764705882,0.7470588235294118,1,1,1
0506tin1_1_56_crop_02.jpg,1,141,13.398760233979036,7.2996445754717785,0.8865248226950354,0.8865248226950354,0.8794326241134752,1,1,1
0506tin1_1_56_crop_02.jpg,2,131,12.914889870235298,7.036032001304189,0.8244274809160306,0.8549618320610687,0.8320610687022901,1,1,1
0506tin1_1_58_crop_00.jpg,1,61,8.812923024107548,4.801280463533791,0.7868852459016393,0.8032786885245902,0.7868852459016393,1,1,1
0506tin1_1_58_crop_00.jpg,2,47,7.735777827895049,4.214451760637222,0.8723404255319149,0.8723404255319149,0.8723404255319149,1,1,1
0506tin1_1_58_crop_00.jpg,3,62,8.884866446580956,4.840475240097304,1.0,0.0,0.0,1,0,0
0506tin1_1_62_crop_02.jpg,1,95,10.998079684646791,5.991753812195571,0.9052631578947369,0.9157894736842105,0.9052631578947369,1,1,1
0506tin1_1_64_crop_01.jpg,1,42,7.312732791431452,3.983976824771855,0.7142857142857143,0.8095238095238095,0.7142857142857143,1,1,1
0506tin1_1_64_crop_01.jpg,2,153,13.957279475043833,7.60392585800388,0.803921568627451,0.803921568627451,0.803921568627451,1,1,1
0506tin1_1_65_crop_01.jpg,1,45,7.569397566060481,4.12380779398975,0.0,0.0,0.0,0,0,0
0506tin1_1_65_crop_01.jpg,2,152,13.911592676604096,7.579035690213911,0.7828947368421053,0.8026315789473685,0.7828947368421053,1,1,1
